,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
1,BIPTC 1st Block,Khulna,1x500 MW,,500 MW,,POWER GRID,HVDC,,
2,BIPTC 2nd Block,Khulna,1x500 MW,,500 MW,,POWER GRID,HVDC,,
1,Aminbazar,Dhaka,3x520,,1560,,POWER GRID,Dhaka(N),,
2,Amtali Switching,Barishal,-,,-,,POWER GRID,Khulna,,
3,Ashuganj (N),Cumilla,2x244/325,,650,,APSCL,Cumilla,,
4,Bhulta,Dhaka,2x520,,1040,,POWER GRID,Dhaka(S),,
5,Bibiyana,Sylhet,2x520,,1040,,POWER GRID,Cumilla,,
6,Bogura (W),Rajshahi,3x750,,2250,,POWER GRID,Bogura,,
7,Gopalganj (N),Khulna,2x750,,1500,,POWER GRID,Khulna,,
8,Kaliakoir,Dhaka,2x520,,1040,,POWER GRID,Dhaka(N),,
9,Korerhat,Chattogram,2x1000,,2000,,POWER GRID,Chattogram,,
10,Meghnaghat,Dhaka,3x750,,2250,,POWER GRID,Dhaka(S),,
11,Madunaghat,Chattogram,3x750,,2250,,POWER GRID,Chattogram,,
12,Rampal,Khulna,2x520,,1040,,BIFPCL,Khulna,,
13,RNPP,Rajshahi,2x520,,1040,,RNPP,HVDC,,
1,Gopalganj (N),Khulna,3x325,,975,,POWER GRID,Khulna,,
2,Kaliakoir,Dhaka,"3x325, 1x300",,1275,,POWER GRID,Dhaka(N),,
3,Rahanpur,Rajshahi,2x520,,1040,,POWER GRID,Bogura,,
4,Payra,Barishal,2x325,,650,,POWER GRID,Khulna,,
1,Agargaon,Dhaka,2x300,,600,,POWER GRID,Dhaka(N),,
2,Aminbazar,Dhaka,3x225,,675,,POWER GRID,Dhaka(N),,
3,Ashuganj,Cumilla,2x300,,600,,APSCL,Cumilla,,
4,Baghabari,Rajshahi,"1x225, 1x300",,525,,POWER GRID,HVDC,,
5,Barapukuria,Rangpur,"2x225
1x225/300",,750,,POWER GRID,Bogura,,
6,Barishal (N),Barishal,2x300,,600,,POWER GRID,Khulna,,
7,Bheramara,Khulna,2x225,,450,,POWER GRID,HVDC,,
8,Bhulta,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
9,Bogura (S),Rajshahi,"2x225(7x75),
2x225/300",,1050,,POWER GRID,Bogura,,
10,Chowmuhani,Cumilla,2x350,,700,,POWER GRID,Cumilla,,
11,Cumilla (N),Cumilla,3x225,,675,,POWER GRID,Cumilla,,
12,Faridpur,Khulna,2x350,,700,,POWER GRID,Khulna,,
13,Fenchuganj,Sylhet,2x300,,600,,POWER GRID,Cumilla,,
14,Feni (N),Cumilla,2x300,,600,,POWER GRID,Cumilla,,
15,Ghorashal,Dhaka,2x125,,250,,BPDB,Dhaka(S),,
16,Haripur,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(S),,
17,Hasnabad,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(S),,
18,Hathazari,Chattogram,4x150,,600,,POWER GRID,Chattogram,,
19,Jhenaidah(S),Khulna,2x300,,600,,POWER GRID,HVDC,,
20,Ishwardi,Rajshahi,3x225,,675,,POWER GRID,HVDC,,
21,Kachua,Cumilla,2x350,,700,,POWER GRID,Cumilla,,
22,Keraniganj,Dhaka,3x300,,900,,POWER GRID,Dhaka(S),,
23,Khulna (S),Khulna,"2x225(7x75)
1x300",,750,,POWER GRID,Khulna,,
24,Madunaghat,Chattogram,3x300,,900,,POWER GRID,Chattogram,,
25,Maniknagar,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
26,"Meghnaghat
Switching",Dhaka,-,,-,,POWER GRID,Dhaka(S),,
27,Purbasadipur,Rangpur,2x300,,600,,POWER GRID,Bogura,,
28,Rajshahi(N),Rajshahi,2x300,,600,,POWER GRID,Bogura,,
29,Rampura,Dhaka,3x450,,1350,,POWER GRID,Dhaka(S),,
30,Rampur,Chattogram,2x300,,600,,POWER GRID,Chattogram,,
31,Siddhirganj,Dhaka,2x300,,600,,POWER GRID,Dhaka(S),,
32,Sirajganj Switching,Rajshahi,"-
Pag",,"-
e 1 of 6",,POWER GRID,Bogura,,
33,Shyampur,Dhaka,2x225/300,,600,,POWER GRID,Dhaka(S),,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
34,Sripur,Dhaka,2x225/300,,600,,POWER GRID,Dhaka(N),,
35,Tongi,Dhaka,3x225(10x75),,675,,POWER GRID,Dhaka(N),,
36,Sikalbaha,Chattogram,2x300,,600,,POWER GRID,Chattogram,,
1,AKSPL,Chattogram,"2x130/150, 1x80",,380,,Bulk,Chattogram,,
2,BSRM,Chattogram,2x130/140,,280,,Bulk,Chattogram,,
3,GPH,Chattogram,2x100/125,,250,,Bulk,Chattogram,,
4,Borhanuddin,Barishal,"1x120/140
(230/33kV)",,140,,BPDB,Khulna,,
5,Mirsarai,Chattogram,2x125/140,,280,,POWER GRID,Chattogram,,
6,Ghorasal SW,Dhaka,1x125/140,,140,,POWER GRID,Dhaka(S),,
1,Aftabnagar,Dhaka,2x80/120,,240,,DESCO,Dhaka(S),,
2,Agargaon,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(N),,
3,Agrabad,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
4,AKSML,Chattogram,1x50/80,,80,,Bulk,Chattogram,,
5,Amnura,Rajshahi,3x35/50,,150,,POWER GRID,Bogura,,
6,Ashuganj,Cumilla,"1x25/41
1x50/75",,116,,APSCL,Cumilla,,
7,Bagerhat,Khulna,"2x25/41, 1x50/75",,157,,POWER GRID,Khulna,,
8,Bajitpur,Mymensingh,2x80/120,,240,,POWER GRID,Dhaka(N),,
9,Bakulia,Chattogram,"2x48/64
2x50/75",,278,,POWER GRID,Chattogram,,
10,Bangabhaban,Dhaka,"1x28/35, 1x80/120",,155,,DPDC,Dhaka(S),,
11,Bhangura,Rajshahi,2x50/75,,150,,POWER GRID,Bogura,,
12,Barguna,Barishal,2x50/75,,150,,POWER GRID,Khulna,,
13,Barapukuria,Rangpur,"1x50/75, 2x25/41",,157,,POWER GRID,Bogura,,
14,Barishal,Barishal,"1x80/120, 1x50/75",,195,,POWER GRID,Khulna,,
15,Barishal(N),Barishal,2x80/120,,240,,POWER GRID,Khulna,,
16,Baroaulia,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
17,Bashundhara,Dhaka,3x80/120,,360,,DESCO,Dhaka(N),,
18,"Bashundhara
Cement",Dhaka,1x35,,35,,Bulk,Dhaka(S),,
19,Banani,Dhaka,2x80/120,,240,,DESCO,Dhaka(N),,
20,Baroirhat,Chattogram,2x50/75,,150,,POWER GRID,Chattogram,,
21,Beanibazar,Sylhet,2x50/75,,150,,POWER GRID,Cumilla,,
22,Bhaluka,Mymensingh,2x80/120,,240,,POWER GRID,Dhaka(N),,
23,Benapole,Khulna,2x50/75,,150,,POWER GRID,Khulna,,
24,Bhandaria,Barishal,"1x50/75, 1x25/41",,116,,POWER GRID,Khulna,,
25,Bhasantek,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(N),,
26,Bheramara,Khulna,"3x25/41, 1x15/20",,143,,POWER GRID,HVDC,,
27,Bhulta,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),,
28,BMPIL,Dhaka,1x50/75,,75,,Bulk,Dhaka(S),,
29,Bogura,Rajshahi,4x80/120,,480,,POWER GRID,Bogura,,
30,Brahmanbaria,Cumilla,"2x80/120
1x25/41",,281,,POWER GRID,Cumilla,,
31,BSRM(Khulshi),Chattogram,1x64/80,,80,,Bulk,Chattogram,,
32,Chandpur,Cumilla,3x50/75,,225,,POWER GRID,Cumilla,,
33,Chandraghona,Chattogram,"1x50/75, 1x25/41",,116,,POWER GRID,Chattogram,,
34,Chapai Nawabganj,Rajshahi,"1x15/20, 2x50/75,
1x25/41 Pag",,e 2 of 6 1,,POWER GRID,Bogura,,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
35,Char Saidpur,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
36,Chauddagram,Cumilla,2x50/75,,150,,POWER GRID,Cumilla,,
37,Chhatak,Sylhet,"2x15/20,1x25/41",,81,,POWER GRID,Cumilla,,
38,Chandina,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
39,Chowdala,Rajshahi,2x50/75,,150,,POWER GRID,Bogura,,
40,Chowmuhani,Cumilla,3x80/120,,360,,POWER GRID,Cumilla,,
41,Chuadanga,Khulna,"2x50/75
1x25/41",,191,,POWER GRID,HVDC,,
42,Cumilla (N),Cumilla,3x50/75,,225,,POWER GRID,Cumilla,,
43,Cumilla (S),Cumilla,4x50/75,,300,,POWER GRID,Cumilla,,
44,Cox's Bazar,Chattogram,"2x80/120, 1x50/75",,315,,POWER GRID,Chattogram,,
45,Daganbhuiyan,Cumilla,1x80/120,,120,,POWER GRID,Cumilla,,
46,"Dhaka University
(DU)",Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
47,Daudkandi,Cumilla,3x50/75,,225,,POWER GRID,Cumilla,,
48,Dhamrai,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(N),,
49,Dhanmondi,Dhaka,"1x50/75
3x80/120",,435,,DPDC,Dhaka(N),,
50,Dohazari,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
51,Faridpur,Khulna,"2x80/120, 1x25/41",,281,,POWER GRID,Khulna,,
52,Fatullah,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
53,Fenchuganj,Sylhet,"2x15/20,1x25/41",,81,,POWER GRID,Cumilla,,
54,Feni,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
55,Gallamari,Khulna,2x80/120,,240,,POWER GRID,Khulna,,
56,Ghatail,Mymensingh,2x50/75,,150,,POWER GRID,Dhaka(N),,
57,Ghorashal,Dhaka,2x41/63,,126,,BPDB,Dhaka(N),,
58,Goalpara,Khulna,2x25/41,,82,,POWER GRID,Khulna,,
59,Gopalganj,Khulna,2x80/120,,240,,POWER GRID,Khulna,,
60,Gulshan,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),,
61,Halishahar,Chattogram,"1x44.1/63,
2x80/120",,303,,POWER GRID,Chattogram,,
62,Haripur SBU,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),,
63,Hasnabad,Dhaka,3x66/100,,300,,POWER GRID,Dhaka(S),,
64,Hathazari,Chattogram,"1x50/75, 1x80/120",,195,,POWER GRID,Chattogram,,
65,Ishwardi,Rajshahi,"2x50/75, 1x80/120",,270,,POWER GRID,HVDC,,
66,Jaldhaka,Rangpur,2x50/75,,150,,POWER GRID,Bogura,,
67,Jamalpur,Mymensingh,"3x50/75, 1x25/41",,266,,POWER GRID,Dhaka(N),,
68,Jashore,Khulna,3x80/120,,360,,POWER GRID,HVDC,,
69,Jhenaidah,Khulna,"2x80/120,
1x50/83.3",,323,,POWER GRID,HVDC,,
70,Joydebpur,Dhaka,"1x35/50
1x50/75, 1x80/120",,245,,POWER GRID,Dhaka(N),,
71,Joypurhat,Rajshahi,4x25/41,,164,,POWER GRID,Bogura,,
72,Juldah,Chattogram,2x50/75,,150,,POWER GRID,Chattogram,,
73,Kabirpur,Dhaka,3x80/120,,360,,POWER GRID,Dhaka(N),,
74,Kachua,Cumilla,2x50/75,,150,,POWER GRID,Cumilla,,
75,Kallayanpur,Dhaka,3x50/75,,225,,POWER GRID,Dhaka(N),,
76,Kalurghat,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
77,Kamrangirchar,Dhaka,3x50/75,,225,,DPDC,Dhaka(N),,
78,Kaptai,Chattogram,"1x15/20 Pag
(132/11kV)",,e 3 of 60,,BPDB,Chattogram,,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
79,Kazla,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
80,Keraniganj,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(S),,
81,Khagrachari,Chattogram,"2x30/39
(2x3x10/13)",,78,,POWER GRID,Chattogram,,
82,Khulna (C),Khulna,3x48/64,,192,,POWER GRID,Khulna,,
83,Khulshi,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
84,Kishoreganj,Mymensingh,3x80/120,,360,,POWER GRID,Dhaka(N),,
85,Kodda,Dhaka,5x50/75,,375,,POWER GRID,Dhaka(N),,
86,Kosba,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
87,KSRM,Chattogram,2x35/50,,100,,Bulk,Chattogram,,
88,Kulaura,Sylhet,3x25/41,,123,,POWER GRID,Cumilla,,
89,Kurigram,Rangpur,2x50/75,,150,,POWER GRID,Bogura,,
90,Kushtia,Khulna,2x80/120,,240,,POWER GRID,HVDC,,
91,KYCR,Chattogram,1x20/25,,20,,Bulk,Chattogram,,
92,Laksam,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
93,Lakshmipur,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
94,Lalbagh,Dhaka,2x50/75,,150,,DPDC,Dhaka(N),,
95,Lalmonirhat,Rangpur,"2x50/75
2X15/20
1X25/33",,223,,POWER GRID,Bogura,,
96,Mahasthangarh,Rajshahi,2x80/120,,240,,POWER GRID,Bogura,,
97,Madanganj,Dhaka,2x35/50,,100,,POWER GRID,Dhaka(S),,
98,Madaripur,Khulna,"1x25/41
2x50/75",,191,,POWER GRID,Khulna,,
99,Madartek,Dhaka,2x50/75,,150,,DPDC,Dhaka(S),,
100,Madunaghat,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
101,Magura,Khulna,"2x25/41, 1x80/120",,202,,POWER GRID,HVDC,,
102,Maijdee,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
103,Manikganj,Dhaka,"2x50/75
1x35/50",,200,,POWER GRID,Dhaka(N),,
104,Maniknagar,Dhaka,2x50/75,,150,,DPDC,Dhaka(S),,
105,Matarbari,Chattogram,2x25/41,,82,,POWER GRID,Chattogram,,
106,Matuail,Dhaka,2x50/75,,150,,DPDC,Dhaka(S),,
107,MI Cement,Dhaka,1x28,,28,,Bulk,Dhaka(S),,
108,Mirpur,Dhaka,3x80/120,,360,,DESCO,Dhaka(N),,
109,Mirzapur,Mymensingh,2x50/75,,150,,POWER GRID,Dhaka(N),,
110,Mithapukur,Rangpur,2x50/75,,150,,POWER GRID,Bogura,,
111,MSML,Chattogram,1x25/30,,30,,Bulk,Chattogram,,
112,Moghbazar,Dhaka,3x50/75,,225,,DPDC,Dhaka(S),,
113,Mongla,Khulna,2x50/75,,150,,POWER GRID,Khulna,,
114,Motijheel,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
115,MRT Motijheel,Dhaka,2x40/50,,100,,DMTCL,Dhaka(S),,
116,MRT Uttara,Dhaka,2x40/50,,100,,DMTCL,Dhaka(N),,
117,Mukhtagacha,Mymensingh,3x50/75,,225,,POWER GRID,Dhaka(N),,
118,Munshiganj,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),,
119,Muradnagar,Cumilla,2x80/120,,240,,POWER GRID,Cumilla,,
120,Mymensingh,Mymensingh,3x80/120,,360,,POWER GRID,Dhaka(N),,
121,Naogaon,Rajshahi,"2x50/75, 1x80/120",,270,,POWER GRID,Bogura,,
122,Narail,Khulna,2x50/75,,150,,POWER GRID,Khulna,,
123,Narinda,Dhaka,2x50/75,,150,,DPDC,Dhaka(S),,
124,Narsingdi,Dhaka,4x50/75,,300,,POWER GRID,Dhaka(S),,
125,Natore,Rajshahi,"3x50/75, 1x35/50",,275,,POWER GRID,Bogura,,
126,Nawabganj,Dhaka,2x50/75 Pag,,e 4 of 60,,POWER GRID,Dhaka(S),,
127,Netrokona,Mymensingh,"2x25/41,1x50/75",,157,,POWER GRID,Dhaka(N),,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,,
128,New Tongi,Dhaka,2x80/120,,240,,DESCO,Dhaka(N),,
129,Niamatpur,Rajshahi,"2x50/75, 1x35/50",,200,,POWER GRID,Bogura,,
130,Noapara,Khulna,2x50/75 1x44.1/63,,213,,POWER GRID,Khulna,,
131,Pabna,Rajshahi,"2x50/75, 2x25/41",,232,,POWER GRID,HVDC,,
132,Palashbari,Rangpur,"2x50/75
2X25/41",,232,,POWER GRID,Bogura,,
133,Panchagarh,Rangpur,4x25/41,,164,,POWER GRID,Bogura,,
134,Patiya,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
135,Patuakhali,Barishal,"2x50/75
1x25/41",,191,,POWER GRID,Khulna,,
136,Payra,Barishal,2x80/120,,240,,POWER GRID,Khulna,,
137,PHP,Cumilla,1x30/35,,35,,Bulk,Cumilla,,
138,Postagola,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),,
139,Purbachal,Dhaka,2x80/120,,240,,DESCO,Dhaka(N),,
140,Purbasadipur,Rangpur,"1x80/120,
1x25/41 2x50/75",,311,,POWER GRID,Bogura,,
141,RSRM,Dhaka,1x20/25,,25,,Bulk,Dhaka(S),,
142,Rajbari,Khulna,"2x50/75, 1x25/41",,191,,POWER GRID,Khulna,,
143,Rajshahi,Rajshahi,"1x80/120,
1x50/75,1x35/50",,290,,POWER GRID,Bogura,,
144,Rajshahi(N),Rajshahi,2x80/120,,240,,POWER GRID,Bogura,,
145,Rajendrapur,Dhaka,3x80/120,,360,,POWER GRID,Dhaka(N),,
146,Ramganj,Cumilla,2x50/75,,150,,POWER GRID,Cumilla,,
147,Rampur,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
148,Rangamati,Chattogram,2x25/41,,82,,POWER GRID,Chattogram,,
149,Rangpur,Rangpur,"2x80/120, 1x25/41",,281,,POWER GRID,Bogura,,
150,Rooppur,Rajshahi,2x25/41,,82,,MoST,HVDC,,
151,Saidpur,Rangpur,"1x35/50, 2x50/75",,241,,POWER GRID,Bogura,,
152,Satkhira,Khulna,"2x25/41, 1x40
1x80/120",,242,,POWER GRID,Khulna,,
153,Sathia,Rajshahi,2x50/75,,150,,POWER GRID,HVDC,,
154,Satmasjid,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(N),,
155,Savar,Dhaka,4x50/75,,300,,POWER GRID,Dhaka(N),,
156,Seven Circle,Dhaka,2x30,,60,,Bulk,Dhaka(S),,
157,Shah Cement,Dhaka,1x80/120,,120,,Private,Dhaka(S),,
158,Shahjadpur,Rajshahi,"2x50/75, 2x35/50",,250,,POWER GRID,HVDC,,
159,Shahjibazar,Sylhet,"1x25/41, 1x50/75,
1x80/120",,236,,POWER GRID,Cumilla,,
160,Shahmirpur,Chattogram,2x48/64,,128,,POWER GRID,Chattogram,,
161,Shariatpur,Khulna,2x80/120,,240,,POWER GRID,Khulna,,
162,Sherpur,Mymensingh,3x50/75,,225,,POWER GRID,Dhaka(N),,
163,Sherpur(Bogura),Rajshahi,3x50/75,,225,,POWER GRID,Bogura,,
164,Sholoshahar,Chattogram,2x80/120,,240,,POWER GRID,Chattogram,,
165,Shyampur,Dhaka,"2x50/75, 2x80/120",,390,,DPDC,Dhaka(S),,
166,Siddhirganj,Dhaka,3x80/120,,360,,POWER GRID,Dhaka(S),,
167,Sikalbaha,Chattogram,"1x25/41.6,
1x50/75 Pag",,"116.6
e 5 of 6",,BPDB,Chattogram,,
168,Sitakunda,Chattogram,2x50/75,,150,,POWER GRID,Chattogram,,
,,,,,,,,,,
,,,,,,,,,,QF-SPL-01
,,,,,,,,,,
,,,,,,,,,,
SN,"Name of Grid
Substation","Operation
Zone","Transformer
Detail (MVA)",,"Total Capacity
(MVA)",,Owership,Grid Circle,Voltage Level,
169,Sirajganj,Rajshahi,"2x50/75, 2x80/120",,390,,POWER GRID,Bogura,132/33kV,
170,Sitalakhya,Dhaka,3x50/75,,225,,DPDC,Dhaka(S),132/33kV,
171,Sonargaon,Dhaka,2x80/120,,240,,POWER GRID,Dhaka(S),132/33kV,
172,Srimangal,Sylhet,"1x15/20, 3x25/41",,143,,POWER GRID,Cumilla,132/33kV,
173,Sreenagar,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(S),132/33kV,
174,SSML,Chattogram,1x25/30,,30,,Bulk,Chattogram,132/33kV,
175,Sripur,Dhaka,2x50/75,,150,,POWER GRID,Dhaka(N),132/33kV,
176,Sunamganj,Sylhet,"2x30/39
(2x3x10/13)",,78,,POWER GRID,Cumilla,132/33kV,
177,Sylhet,Sylhet,"1x80/120,
2x25/41,1x50/83",,285,,POWER GRID,Cumilla,132/33kV,
178,Sylhet (S),Sylhet,2x50/75,,150,,POWER GRID,Cumilla,132/33kV,
179,Tangail,Mymensingh,"2x80/120,
1x50/75, 1x25/41",,356,,POWER GRID,Dhaka(N),132/33kV,
180,Taraganj,Rangpur,2x25/41,,82,,POWER GRID,Bogura,132/33kV,
181,Tasnim Chemical,Dhaka,1x80/120,,120,,Bulk,Dhaka(S),132/33kV,
182,Thakurgaon,Rangpur,"2x50/75, 1x25/41",,191,,POWER GRID,Bogura,132/33kV,
183,TKCCL,Chattogram,2x50/75,,75,,Bulk,Chattogram,132/33kV,
184,Tongi,Dhaka,"1x50/75, 2x80/120",,315,,POWER GRID,Dhaka(N),132/33kV,
185,Tongi-3 (Mill Gate),Dhaka,2x80/120,,240,,DESCO,Dhaka(N),132/33kV,
186,Ullapara,Rajshahi,2x80/120,,240,,POWER GRID,HVDC,132/33kV,
187,Ullon,Dhaka,3x35/50,,150,,DPDC,Dhaka(S),132/33kV,
188,Uttara 3P,Dhaka,2x80/120,,240,,DESCO,Dhaka(N),132/33kV,
189,Uttara,Dhaka,3x80/120,,360,,DESCO,Dhaka(N),132/33kV,
190,Zigatola,Dhaka,2x80/120,,240,,DPDC,Dhaka(S),132/33kV,
,,,,,,,,,,
,,,,Page 1 of 1,,,,,,